season,round,race_name,circuit,date,driver_id,driver_number,driver_name,constructor,grid,position,position_text,status,laps,time,fastest_lap_rank,fastest_lap_time
2010,1,Bahrain Grand Prix,Bahrain International Circuit,2010-03-14,alonso,8,Fernando Alonso,Ferrari,3,1,1,Finished,49,1:39:20.396,1,1:58.287
2010,1,Bahrain Grand Prix,Bahrain International Circuit,2010-03-14,massa,7,Felipe Massa,Ferrari,2,2,2,Finished,49,+16.099,5,1:59.732
2010,1,Bahrain Grand Prix,Bahrain International Circuit,2010-03-14,hamilton,2,Lewis Hamilton,McLaren,4,3,3,Finished,49,+23.182,4,1:59.560
2010,1,Bahrain Grand Prix,Bahrain International Circuit,2010-03-14,vettel,5,Sebastian Vettel,Red Bull,1,4,4,Finished,49,+38.799,12,2:00.218
2010,1,Bahrain Grand Prix,Bahrain International Circuit,2010-03-14,rosberg,4,Nico Rosberg,Mercedes,5,5,5,Finished,49,+40.213,13,2:00.236
2010,1,Bahrain Grand Prix,Bahrain International Circuit,2010-03-14,michael_schumacher,3,Michael Schumacher,Mercedes,7,6,6,Finished,49,+44.163,11,2:00.204
2010,1,Bahrain Grand Prix,Bahrain International Circuit,2010-03-14,button,1,Jenson Button,McLaren,8,7,7,Finished,49,+45.280,9,1:59.970
2010,1,Bahrain Grand Prix,Bahrain International Circuit,2010-03-14,webber,6,Mark Webber,Red Bull,6,8,8,Finished,49,+46.360,3,1:59.487
2010,1,Bahrain Grand Prix,Bahrain International Circuit,2010-03-14,liuzzi,15,Vitantonio Liuzzi,Force India,12,9,9,Finished,49,+53.008,7,1:59.906
2010,1,Bahrain Grand Prix,Bahrain International Circuit,2010-03-14,barrichello,9,Rubens Barrichello,Williams,11,10,10,Finished,49,+1:02.489,6,1:59.833
2010,1,Bahrain Grand Prix,Bahrain International Circuit,2010-03-14,kubica,11,Robert Kubica,Renault,9,11,11,Finished,49,+1:09.093,14,2:00.474
2010,1,Bahrain Grand Prix,Bahrain International Circuit,2010-03-14,sutil,14,Adrian Sutil,Force India,10,12,12,Finished,49,+1:22.958,2,1:59.393
2010,1,Bahrain Grand Prix,Bahrain International Circuit,2010-03-14,alguersuari,17,Jaime Alguersuari,Toro Rosso,18,13,13,Finished,49,+1:32.656,8,1:59.964
2010,1,Bahrain Grand Prix,Bahrain International Circuit,2010-03-14,hulkenberg,10,Nico Hülkenberg,Williams,13,14,14,+1 Lap,48,,15,2:01.401
2010,1,Bahrain Grand Prix,Bahrain International Circuit,2010-03-14,kovalainen,19,Heikki Kovalainen,Lotus,21,15,15,+2 Laps,47,,17,2:02.701
2010,1,Bahrain Grand Prix,Bahrain International Circuit,2010-03-14,buemi,16,Sébastien Buemi,Toro Rosso,15,16,16,Electrical,46,,10,2:00.080
2010,1,Bahrain Grand Prix,Bahrain International Circuit,2010-03-14,trulli,18,Jarno Trulli,Lotus,20,17,17,Hydraulics,46,,18,2:02.930
2010,1,Bahrain Grand Prix,Bahrain International Circuit,2010-03-14,rosa,22,Pedro de la Rosa,Sauber,14,18,R,Hydraulics,28,,16,2:01.650
2010,1,Bahrain Grand Prix,Bahrain International Circuit,2010-03-14,bruno_senna,21,Bruno Senna,HRT,23,19,R,Overheating,17,,22,2:09.127
